time_seconds,time_years,number_density,temperature,cr_rate,fuv_field,visual_extinction,C,C+,CO,CO+,E,H,H+,H2,H2O,H2O+,H3O+,HCO+,O,O+,OH,OH+
19159039870.481003,607.5291689016046,10000.0,50.0,1e-17,1.0,2.0,8.396139845556321e-05,1.2937361634923716e-05,3.0858114579904476e-06,1.5296675354094878e-08,5.801149324614482e-05,1.3262855883997562,4.504139633748379e-05,0.3368315982620064,3.052874705624653e-06,1.1366117796661134e-09,1.4944903292865643e-08,1.3177616831165376e-10,0.00019380864107119945,4.720197711797955e-10,1.9937491446989265e-08,7.532873708448665e-10
19833702804.78761,628.9225902076233,10000.0,50.0,1e-17,1.0,2.0,8.423259008342092e-05,1.2669818263463203e-05,3.0824674825208547e-06,1.4991449091756683e-08,5.942143001894514e-05,1.3515968995015017,4.6719524716696455e-05,0.3241751184088343,3.038506568244306e-06,1.174890062202486e-09,1.4514844230251143e-08,1.3272150295607452e-10,0.00019382660560254982,4.904936404365226e-10,2.0333307898417985e-08,7.826402575035989e-10
20532123196.566208,651.0693555481421,10000.0,50.0,1e-17,1.0,2.0,8.450335447487091e-05,1.2402988324855255e-05,3.078826491118863e-06,1.4697065059856313e-08,6.088892578060645e-05,1.3767964898582317,4.845448134438386e-05,0.3115744717213158,3.0229201521610694e-06,1.2155318454498989e-09,1.4085263494393869e-08,1.336440947519424e-10,0.00019384605447555494,5.10381048471019e-10,2.074276979655533e-08,8.14225824006642e-10
21255137636.589542,673.99599304254,10000.0,50.0,1e-17,1.0,2.0,8.477344727805866e-05,1.213714810316661e-05,3.074857016443173e-06,1.4413058783673406e-08,6.241597663903751e-05,1.4018503752653482,5.024798583739989e-05,0.2990466495570985,3.005999735267165e-06,1.2586906422671576e-09,1.3656326220643438e-08,1.345435475803966e-10,0.00019386713455875551,5.318197304682207e-10,2.1165991062123973e-08,8.482595459290022e-10
22003612175.18515,697.7299649665509,10000.0,50.0,1e-17,1.0,2.0,8.504262864100522e-05,1.1872573055162846e-05,3.070523917869389e-06,1.4138966485541986e-08,6.400459990654837e-05,1.4267239619943894,5.210177981408219e-05,0.28660894803582315,2.987618570401847e-06,1.3045268743945634e-09,1.3228178663050484e-08,1.354194766947106e-10,0.0001938900074485555,5.549637440294409e-10,2.1603025869142155e-08,8.849820590898782e-10
22778443359.618732,722.2997006474737,10000.0,50.0,1e-17,1.0,2.0,8.531066463916656e-05,1.1609536723093856e-05,3.0657880428713843e-06,1.3874323357356994e-08,6.565682826433999e-05,1.451382179398237,5.4017622143325215e-05,0.2742789017397059,2.96763808347633e-06,1.3532071027436632e-09,1.2800947650442728e-08,1.3627151054790295e-10,0.0001939148506177226,5.799857308963249e-10,2.2053858007742713e-08,9.246625684125664e-10
23580559308.007946,747.7346305177558,10000.0,50.0,1e-17,1.0,2.0,8.557732871324682e-05,1.1348309682208451e-05,3.0606058434858713e-06,1.3618661765894257e-08,6.737470300721227e-05,1.4757896244883428,5.599728323820945e-05,0.26207421142854914,2.9459071059132666e-06,1.4049028858792739e-09,1.2374740537526453e-08,1.3709929274480534e-10,0.00019394185857490748,6.070795354098995e-10,2.251838889792057e-08,9.676027764756277e-10
24410920821.0524,774.0652213677193,10000.0,50.0,1e-17,1.0,2.0,8.584240309996162e-05,1.1089158533506238e-05,3.0549289546408316e-06,1.3371509407004097e-08,6.91602662454919e-05,1.4999107181548756,5.804253826049821e-05,0.25001266593376426,2.922261180123384e-06,1.4597891744818432e-09,1.194964576037056e-08,1.379024841240296e-10,0.00019397124398958906,6.364632424609195e-10,2.2996424158178323e-08,1.0141414185371364e-09
25270522532.91232,801.3230128396854,10000.0,50.0,1e-17,1.0,2.0,8.610568023848017e-05,1.0832344950810728e-05,3.048703742511439e-06,1.3132387432586182e-08,7.101555192867209e-05,1.5237098725281304,6.0155159091193265e-05,0.23811205848226158,2.896521988966464e-06,1.518042134588499e-09,1.1525734119524208e-08,1.386807649755635e-10,0.00019400323872319902,6.683827098022223e-10,2.3487658653751813e-08,1.0646595062883537e-09
26160394102.613678,829.5406552071815,10000.0,50.0,1e-17,1.0,2.0,8.636696413493582e-05,1.0578124789311032e-05,3.0418708333308807e-06,1.290080858476498e-08,7.294257554402865e-05,1.547151668793649,6.233690491300582e-05,0.22639009779398006,2.868496975050107e-06,1.5798362756747211e-09,1.110306092846486e-08,1.394338373999421e-10,0.000194038094689922,7.031156842404336e-10,2.3991659984073284e-08,1.1195864008617954e-09
27081601447.407593,858.7519484845127,10000.0,50.0,1e-17,1.0,2.0,8.662607166649012e-05,1.0326747260267149e-05,3.0343646364293734e-06,1.2676275385413082e-08,7.49433223349415e-05,1.570201044576133,6.458951124447235e-05,0.2148643143955284,2.837979233488909e-06,1.6453407437931118e-09,1.068166917836418e-08,1.4016142781503583e-10,0.00019407608444945497,7.40976608960854e-10,2.450785042355263e-08,1.1794068572224065e-09
28035248019.560787,888.9918829135206,10000.0,50.0,1e-17,1.0,2.0,8.688283380475126e-05,1.0078454173622196e-05,3.02611287989048e-06,1.245827844639001e-08,7.701973387970777e-05,1.592823489800025,6.691467726438406e-05,0.20355196269596296,2.8047477823738244e-06,1.7147146259239959e-09,1.0261593880783622e-08,1.4086328961637293e-10,0.0001941175014086241,7.823222507635409e-10,2.5035487409068486e-08,1.244669207557567e-09
29022476128.10674,920.2966808760382,10000.0,50.0,1e-17,1.0,2.0,8.713709673569864e-05,9.833479246851082e-06,3.0170361832574554e-06,1.2246294986733377e-08,7.917369287476858e-05,1.6149852497207429,6.931405127168371e-05,0.19246991947766934,2.768568338364654e-06,1.7881011020213178e-09,9.842867755149051e-09,1.4153920599647689e-10,0.00019416265947936486,8.275583021603361e-10,2.5573642778042047e-08,1.315994881299101e-09
